Y/N,question,answer,explination,category,subcategory,type
,Area of Influence,"The area within which the potentiometric surface is lowered by withdrawal or raised by injection, of water through a well. ",The area that has a change in potentiometric surface due to a well.,Hydrogeology,,
,Aquifer,A geologic unit that is saturated and sufficiently permeable to transmit significant economic quantities of water to wells and springs.,Permeable rocks that are able to both store and transmit water effectively.,Hydrogeology,,
,Aquitard,"A geologic unit that can store, and SLUGGISHLY transmit water.",---,Hydrogeology,,
,Aquiclude,A geologic unit that is ALMOST impermeable.,---,Hydrogeology,,
,Aquifuge,A geologic unit that is COMPLETELY impermeable.,---,Hydrogeology,,
,Capillary Fringe,"The lowest part of the vadose zone, immediately above the water table, where water is under pressure that is less than atmospheric pressure. Water is held by capillary tension.",---,Hydrogeology,,
,Confined Aquifer,An aquifer overlain by a confining layer of low permeability.,---,Hydrogeology,,
,Connate Water,Water trapped in the pores of a sedimentary rock at the time of deposittion; fossil water.,---,Hydrogeology,,
,Darcy,A unit of intrinsic permeability = to 9.87 x 10^9 cm^2,NOTE: Be careful with where you apply this. This unit isn't used for the end result of the Darcy's Law equation. It's used as the unit for Intrinsic Permeability ,Hydrogeology,,
,Darcy's Law,The basic equation describing groundwater flow put forth by Darcy: Q = -KiA,---,Hydrogeology,,
,Discharge Area,"An area where subsurface water is discharged to land, bodies of water, or the atmosphere.",---,Hydrogeology,,
,Effective Porosity,The percentage of the total volume of a soil or rock that consists of interconnected pore space. The term is smetimes used analogously to specific yield.,"The amount of void space that's able to transmit water. [Capillary forces cause some water (and thus void space) to stay in the rock, so the effective porosity is lower than standard porosity]. ",Hydrogeology,,
,Field Capacity ,"The quantity of water held by the soil or rock against the pull of gravity. Field capacity is dependent on the length of time the soil or rock has been undergoing gravity drainage, while specific retention is not. ",The amount of water held in a rock/soil due to capillary forces. Kinda like the inverse of effective porosity in a way. ,Hydrogeology,,
,Flow Net,Two-dimensional representation of flow lines and equipotentials.,---,Hydrogeology,,
,Ghyben-Herzberg Principle,The principle that states that the depth to which fresh water extends below sea level is approximately 40 times the height of the water table above sea level.,"There's about 40 times more freshwater below sea level, than above it. (1 ft above SL = 40 ft below SL). Expressed as Z = 40ht where Z is the depth of fresh-water-salt-water interface below sea level, and ht is the height of the potentiometric surface above sea level.",Hydrogeology,,
,Head (K),"A measure of the potential energy of a fluid at any given point with respect to a given datum. In practice, it is the elevation to which water rises at a given point as a result of reservoir pressure.",A point of water potential energy. ,Hydrogeology,,
,Hydraulic Gradient (i),Rate of change in total head per unit of distance of flow in a given direction.,i = (high head - low head / distance),Hydrogeology,,
,Intrinsic Permbeability (ki),A property of the porous medium that measure the relative ease with which a fluid can be transmitted through it under a hydraulic gradient. It is dependent upon the pore size and is measured in darcy's.,"The degree of rock/soil permeability when there's a hydraulic gradient. (The unit is the darcy, a unit of area... So this isn't a time rate.)",Hydrogeology,,
,Juvenile Water,Water that is derived directly from magma and is thought to have come to the Earth's surface for the first time.,---,Hydrogeology,,
,Meinzer,A unit of hydraulic conductivity in gpd/ft^2. Rate of flow in gallons per day through a cross section of 1 square foot under a unit hydraulic gradient at 60 degrees F.,The flow rate of hydraulic conductivity. (gallons per day / ft^2),Hydrogeology,,
,Perched Groundwater,Unconfined groundwater separated from an underlying body of groundwater by an unsaturated zone. ,---,Hydrogeology,,
,Permeability,The property of a porous rock or soil for transmitting a fluid. It measures the relative ease of flow under unequal pressure.,"Also uses the darcy, so it's conceptually an area measurement.",Hydrogeology,,
,Phreatic Water,Generalized term for water in the saturated zone / above the water table.,---,Hydrogeology,,
,Porosity (n),The percentage of the bulk volume of a soil that is occupied by void space.,Porosity (n) = (Void Space Volume / Total Volume) x 100,Hydrogeology,,
,Potentiometric Surface,A surface that represents the total head of groundwater and is defined by the level to which water will rise in a well. ,---,Hydrogeology,,
,Recharge Area,An area where water infiltrates downward into the saturated zone. ,---,Hydrogeology,,
,Runoff (R),That part of precipitation appearing in surface streams... (Not a good definition)...,"When you have water infiltrating the soil, it may become fully saturated, meaning that all void space has been filled with water. Because of this, water has no room to infiltrate downwards, thus ""runs off"" as surface water. Quantitatively (R = stream inflow - stream outflow).",Hydrogeology,,
,Specific Retention (Sr),"Ratio of the volume of water a soil or rock can retain against gravity drainage to the total volume of the soil or rock, usually stated as a percentage.",The amount of water remaining in a rock/soil due to capillary forces related to the overal volume. [Sr = (volume of remaining water / overall volume) x 100 ],Hydrogeology,,
,Specific Storage (Ss),Amount of water per unit volume of a saturated formation that is stored or expelled from storage due to compressibility of mineral skeleton and pore water per unit change in head. Units are ft^-1.,A bit confusing. Tl;dr - The amount of water released from an aquifer while it remains fully saturated. ,Hydrogeology,,
,Specific Yield (Sy),"Ratio of the volume of water that drains from a saturated soil or rock due to gravity to the total volume of soil or rock, stated as a percentage. Sy = Draining Water Volume / Total Volume",The opposite of specific retention... Basically the ratio amount that leaves a porous medium when considering capillary forces.,Hydrogeology,,
,Storativity / Storage Coefficient (S),"Volume of water that a permeable unit released from or takes into storage per unit surface area of the aquifer per unit change in head. In an unconfined aquifer, storage = specific yield.",Storativity = (+- Volume of Water) / (Area x Change in Head Height),Hydrogeology,,
